Month,Sales,Inflation
01-Jan,266,1
01-Feb,145.9,1
01-Mar,183.1,0
01-Apr,119.3,0
01-May,180.3,3
01-Jun,168.5,2
01-Jul,231.8,0
01-Aug,224.5,0
01-Sep,192.8,5
01-Oct,122.9,1
01-Nov,336.5,5
01-Dec,185.9,1
02-Jan,194.3,0
02-Feb,149.5,1
02-Mar,210.1,1
02-Apr,273.3,2
02-May,191.4,4
02-Jun,287,3
02-Jul,226,2
02-Aug,303.6,2
02-Sep,289.9,4
02-Oct,421.6,1
02-Nov,264.5,0
02-Dec,342.3,2
03-Jan,339.7,4
03-Feb,440.4,2
03-Mar,315.9,5
03-Apr,439.3,5
03-May,401.3,1
03-Jun,437.4,0
03-Jul,575.5,5
03-Aug,407.6,4
03-Sep,682,5
03-Oct,475.3,2
03-Nov,581.3,3
03-Dec,646.9,2
